City,AQI Value,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,PM10,Pb3
Praskoveya,51,Moderate,1,36,0,51,36,30
Presidente Dutra,41,Good,1,5,1,41,5,100
Priolo Gargallo,66,Moderate,1,39,2,66,39,47
Przasnysz,34,Good,1,34,0,20,34,4
Punaauia,22,Good,0,22,0,6,22,71
Punta Gorda,54,Moderate,1,14,11,54,14,28
Puttlingen,62,Moderate,1,35,3,62,35,30
Puurs,64,Moderate,1,29,7,64,29,10
Pyatigorsk,54,Moderate,1,41,1,54,41,95
Qalyub,142,Unhealthy for Sensitive Groups,3,89,9,142,89,0
Qinzhou,68,Moderate,2,68,1,58,68,24
Raalte,41,Good,1,24,6,41,24,16
Radaur,158,Unhealthy,3,139,1,158,139,37
Radhan,158,Unhealthy,1,50,1,158,50,31
Radovis,83,Moderate,1,46,0,83,46,35
Raismes,59,Moderate,1,30,4,59,30,22
Rajgir,154,Unhealthy,3,100,2,154,100,51
Ramacca,55,Moderate,1,47,0,55,47,41
Phoenix,72,Moderate,1,4,23,72,4,66
Phulabani,161,Unhealthy,2,71,0,161,71,20
Piaseczno,28,Good,1,28,2,28,28,6
Pimpri,118,Unhealthy for Sensitive Groups,2,30,2,118,30,54
Pindobacu,33,Good,0,10,1,33,10,62
Pingyin,150,Unhealthy,3,95,6,150,95,64
Pinheiral,154,Unhealthy,5,0,13,154,0,54
Piravam,81,Moderate,1,24,1,81,24,142
Plato,67,Moderate,1,16,2,67,16,58
Poiana Mare,62,Moderate,1,37,1,62,37,41
Polevskoy,31,Good,1,31,0,17,31,158
Pontarlier,56,Moderate,1,35,0,56,35,158
Pontiac,77,Moderate,2,22,15,77,22,83
Pontianak,44,Good,1,15,0,44,15,59
Porecatu,30,Good,1,9,2,30,9,16
Pori,30,Good,1,30,1,15,30,37
Port Elizabeth,79,Moderate,3,18,5,79,18,31
Port Neches,34,Good,1,19,7,34,19,35
Port Talbot,51,Moderate,1,20,5,51,20,22
Portales,77,Moderate,1,34,0,77,34,15
Post Falls,61,Moderate,1,32,3,61,32,9
Pouso Alegre,32,Good,1,7,2,32,7,30
Dalinghe,64,Moderate,3,64,4,64,64,18
Dalnegorsk,29,Good,0,29,0,25,29,19
Dar Es Salaam,51,Moderate,1,23,0,51,23,20
Darbhanga,247,Very Unhealthy,3,162,1,247,162,34
Dayton,45,Good,1,32,7,45,32,32
Deinze,36,Good,1,25,3,36,25,7
Dekernes,81,Moderate,2,81,4,56,81,64
Delmas,124,Unhealthy for Sensitive Groups,2,15,5,124,15,29
Deming,72,Moderate,1,26,2,72,26,23
Denton,55,Moderate,0,32,1,55,32,162
Destin,31,Good,0,31,0,25,31,32
Dhadar,157,Unhealthy,1,89,0,157,89,25
Dharmapuri,60,Moderate,1,31,1,60,31,81
Digri,153,Unhealthy,1,40,0,153,40,15
Dinsor,22,Good,0,19,0,22,19,26
Dipolog,30,Good,1,17,0,30,17,32
Grandville,47,Good,1,37,4,47,37,31
Grave,37,Good,0,32,2,37,32,89
Green Valley,44,Good,1,14,8,44,14,31
Greendale,58,Moderate,2,14,24,58,14,40
Grudziadz,37,Good,0,33,0,37,33,19
Guamo,89,Moderate,3,3,6,89,3,17
Guardiagrele,52,Moderate,2,38,7,52,38,37
Guelengdeng,59,Moderate,2,16,0,59,16,32
Guildford,51,Moderate,1,25,6,51,25,14
Guiset,66,Moderate,1,26,1,66,26,14
Gukovo,38,Good,1,38,0,13,38,33
Havre De Grace,34,Good,1,30,7,34,30,3
Hazelwood,88,Moderate,2,11,20,88,11,38
Heddesheim,54,Moderate,1,31,3,54,31,16
Heiligenhaus,44,Good,1,28,3,44,28,25
Hemel Hempstead,51,Moderate,1,26,6,51,26,26
Hicksville,67,Moderate,2,15,23,67,15,38
Hidrolandia,42,Good,1,5,2,42,5,30
Gyanpur,189,Unhealthy,2,99,1,189,99,11
Haiger,49,Good,1,25,3,49,25,31
Hangzhou,203,Very Unhealthy,5,203,5,151,203,28
Harrislee,35,Good,0,32,0,35,32,26
Harrison,90,Moderate,1,25,2,90,25,15
Harur,67,Moderate,1,26,1,67,26,5
Hasbergen,36,Good,0,34,1,36,34,99
Haubourdin,48,Good,1,28,4,48,28,48
Taunton,41,Good,1,28,10,41,28,41
Tauranga,19,Good,0,19,1,17,19,17
Tawzar,73,Moderate,1,43,0,73,43,73
Tay Ninh,45,Good,0,18,1,45,18,45
Taybad,170,Unhealthy,1,43,0,170,43,170
Teano,47,Good,1,47,1,36,47,36
Tekkali,155,Unhealthy,3,82,1,155,82,155
Teodoro Sampaio,46,Good,1,9,1,46,9,46
